X,Y,Z
-10,0,151.23
-10,10,155.0821
-10,20,155.0821
-10,40,155.8604332
-10,50,155.8604332
-10,60,155.8604332
-10,80,147.3905509
-10,90,147.3905509
-10,100,148.67
0,0,150.1040852
0,10,150.1040852
0,20,151.6474043
0,40,152.9574353
0,50,152.2331919
0,60,153.4635526
0,80,145.5863107
0,90,141.2569023
0,100,141.2569023
10,0,133.785289
10,10,133.785289
10,20,135.2363024
10,40,135.879996
10,50,133.785289
10,60,137.039835
10,80,136.4792605
10,90,136.1246851
10,100,136.1246851
20,0,138.5325073
20,10,138.5325073
20,20,137.039835
20,40,139.5657108
20,50,139.5657108
20,60,140.5616601
20,80,138.2537918
20,90,138.0628854
20,100,138.0628854
30,0,139.6062045
30,10,139.6062045
30,20,138.9780352
30,40,139.4841525
30,50,139.0644627
30,60,139.4018212
30,80,139.8844948
30,90,140.5616601
30,100,140.5616601
40,0,140.5616601
40,10,140.5616601
40,20,140.5616601
40,40,139.4018212
40,50,138.5325073
40,60,138.0628854
40,80,141.2569023
40,90,142.4998604
40,100,142.4998604
50,0,141.7440892
50,10,141.7440892
50,20,141.9005959
50,40,139.6062045
50,50,138.7581275
50,60,138.0628854
50,80,142.0543325
50,90,142.7846692
50,100,142.7846692
60,0,142.7846692
60,10,142.7846692
60,20,143.0604349
60,40,139.8058889
60,50,138.9780352
60,60,138.0628854
60,80,142.7846692
60,90,143.0604349
60,100,143.0604349
70,0,142.3538756
70,10,142.3538756
70,20,141.7440892
70,40,138.3008699
70,50,137.039835
70,60,137.039835
70,80,142.9236464
70,90,143.3277141
70,100,143.3277141
80,0,141.9005959
80,10,141.9005959
80,20,140.191992
80,40,136.4792605
80,50,134.5410602
80,60,135.879996
80,80,143.0604349
80,90,143.5870136
80,100,143.5870136
